tourney_name,winner_name,loser_name,minutes
Roland Garros,Yen Hsun Lu,Blaz Kavcic,182.0
Roland Garros,Andrea Arnaboldi,James Duckworth,250.0
Roland Garros,Leonardo Mayer,Jiri Vesely,235.0
Roland Garros,Benjamin Becker,Ruben Bemelmans,216.0
Roland Garros,Juan Monaco,Federico Delbonis,208.0
Roland Garros,Steve Johnson,Guillermo Garcia Lopez,209.0
Roland Garros,Dominic Thiem,Aljaz Bedene,202.0
Roland Garros,Thanasi Kokkinakis,Bernard Tomic,202.0
Roland Garros,Richard Gasquet,Carlos Berlocq,202.0
Roland Garros,Jack Sock,Pablo Carreno Busta,207.0
Roland Garros,Borna Coric,Tommy Robredo,227.0
Roland Garros,Benjamin Becker,Fernando Verdasco,193.0
Roland Garros,Pablo Andujar,Philipp Kohlschreiber,211.0
Roland Garros,Tomas Berdych,Radek Stepanek,199.0
Roland Garros,Nicolas Mahut,Ernests Gulbis,186.0
Roland Garros,Pablo Cuevas,Dominic Thiem,231.0
Roland Garros,Richard Gasquet,Kevin Anderson,213.0
Roland Garros,David Ferrer,Simone Bolelli,192.0
Roland Garros,Gilles Simon,Nicolas Mahut,227.0
Roland Garros,Gael Monfils,Pablo Cuevas,203.0
Roland Garros,Andy Murray,David Ferrer,196.0
Roland Garros,Jo-Wilfried Tsonga,Kei Nishikori,225.0
Roland Garros,Novak Djokovic,Andy Murray,249.0
Roland Garros,Stan Wawrinka,Jo-Wilfried Tsonga,226.0
Roland Garros,Stan Wawrinka,Novak Djokovic,192.0
US Open,Novak Djokovic,Roger Federer,200.0
Marrakech,Luca Vanni,Inigo Cervantes Huegun,188.0
Halle,Mikhail Youzhny,Yuichi Sugita,215.0
Montevideo CH,Marcelo Arevalo,Joao Souza,191.0
Montevideo CH,Facundo Bagnis,Carlos Berlocq,183.0
Fergana CH,Nikola Milojevic,Sanjar Fayziev,183.0
Dallas CH,Tatsuma Ito,Mikhail Kukushkin,189.0
Sevilla CH,Jose Antonio Dugo Reyes,Alexandr Igoshin,198.0
Sevilla CH,David Vega Hernandez,Pol Toledo Bague,196.0
Sevilla CH,Felix Auger Aliassime,Maxime Janvier,181.0
Sevilla CH,Corentin Moutet,Axel Michon,239.0
Leon CH,Ivan Endara,Carlos Ramirez Utermann,416.0
Banja Luka CH,Carlos Taberner,Ricardo Ojeda Lara,189.0
Recanati CH,Mirza Basic,Luca Vanni,183.0
Rome  CH,Stefano Travaglia,Marco Trungelliti,206.0
Santiago CH,Christian Lindell,Marco Cecchinato,183.0
Milan CH,Marco Cecchinato,Laurynas Grigelis,187.0
Milan CH,Juan Ignacio Londero,Andrea Collarini,337.0
San Benedetto Del Tronto CH,Laslo Djere,Andrea Collarini,197.0
Caltanissetta CH,Cedrik Marcel Stebe,Stefano Travaglia,193.0
Bradenton CH,Blaz Rola,Gonzalo Escobar,206.0
Atlanta,Stefan Kozlov,Brydan Klein,223.0
Campinas CH,Daniel Munoz de la Nava,Joao Souza,190.0
Shanghai CH,Kento Takeuchi,Jie Cui,298.0
Meerbusch CH,Kimmer Coppejans,Miliaan Niesten,196.0
Rio de Janeiro,Marco Cecchinato,Alessandro Giannessi,185.0
Cortina CH,Roberto Carballes Baena,Marcel Granollers,184.0
Biella CH,Constant Lestienne,Lorenzo Giustino,181.0
Santiago CH,Michel Vernier,Ricardo Urzua Rivera,202.0
Santiago CH,Thiago Monteiro,Roberto Carballes Baena,181.0
Buenos Aires CH,Juan Pablo Paz,Nicolas Alberto Arreche,190.0
Buenos Aires CH,Marc Giner,Juan Ignacio Galarza,195.0
Barletta CH,Stefano Napolitano,Stefano Travaglia,182.0
Zhuhai CH,Chengze Lu,Changwei Peng,563.0
Zhuhai CH,Agustin Velotti,Stefano Napolitano,184.0
Lyon CH,Calvin Hemery,Geoffrey Blancaneaux,187.0
Lyon CH,Ronan Joncour,Vadim Alekseenko,191.0
Lyon CH,Mikael Ymer,Calvin Hemery,198.0
Lyon CH,Tristan Lamasine,Horacio Zeballos,181.0
Bastad CH,Sam Taylor,Filip Malbasic,187.0
Panama City CH,Mohamed Safwat,Facundo Arguello,192.0
Francavilla Al Mare CH,Ruben Ramirez Hidalgo,Omar Giacalone,187.0
Francavilla Al Mare CH,Matteo Donati,Simone Bolelli,183.0
Francavilla Al Mare CH,Kristijan Mesaros,Gastao Elias,209.0
Francavilla Al Mare CH,Marco Cecchinato,Matteo Berrettini,183.0
Lisbon CH,Gleb Sakharov,Goncalo Oliveira,184.0
Poprad-Tatry CH,Michael Linzer,Petr Michnev,206.0
Brisbane,Ivan Dodig,Ryan Harrison,251.0
Cincinnati Masters,Janko Tipsarevic,John Mcnally,182.0
Madrid Masters,Gilles Simon,Rafael Nadal,203.0
Munich,Simone Bolelli,Paul Henri Mathieu,186.0
Gstaad,Igor Andreev,Guillermo Garcia Lopez,182.0
Tokyo,Rainer Schuettler,Mikhail Youzhny,282.0
Indian Wells Masters,Nicolas Massu,Janko Tipsarevic,192.0
Indian Wells Masters,Tommy Robredo,Nicolas Massu,185.0
Indian Wells Masters,Juan Carlos Ferrero,Mario Ancic,181.0
Indian Wells Masters,Rafael Nadal,Jo-Wilfried Tsonga,183.0
Monte Carlo Masters,Nicolas Lapentti,Potito Starace,200.0
Monte Carlo Masters,Janko Tipsarevic,Nicolas Lapentti,184.0
Hamburg Masters,Ivan Ljubicic,Steve Darcis,182.0
Hamburg Masters,Andreas Seppi,Nicolas Kiefer,193.0
Hamburg Masters,Rafael Nadal,Novak Djokovic,183.0
San Jose,Guillermo Garcia Lopez,John Isner,188.0
Vina del Mar,Sergio Roitman,Nicolas Massu,199.0
Vina del Mar,Carlos Berlocq,Luis Horna,184.0
Roland Garros,Alejandro Falla,Ivo Karlovic,216.0
Roland Garros,Julien Benneteau,Vincent Spadea,191.0
Roland Garros,Pablo Andujar,Filippo Volandri,195.0
Roland Garros,Victor Hanescu,Dudi Sela,213.0
Roland Garros,Marc Gicquel,Viktor Troicki,186.0
Roland Garros,Nicolas Lapentti,Janko Tipsarevic,221.0
Roland Garros,Eduardo Schwank,Carlos Moya,238.0
Roland Garros,Oscar Hernandez,Ivo Minar,218.0
Roland Garros,Wayne Odesnik,Guillermo Canas,227.0
Roland Garros,Miguel Angel Lopez Jaen,Frank Dancevic,201.0
Roland Garros,Sebastian Decoud,Olivier Rochus,232.0
Roland Garros,Maximo Gonzalez,Roko Karanusic,215.0
Roland Garros,Juan Ignacio Chela,John Isner,207.0
Roland Garros,Fernando Verdasco,Santiago Ventura,220.0
Roland Garros,Martin Vassallo Arguello,Feliciano Lopez,214.0
Roland Garros,Julien Benneteau,Alejandro Falla,228.0
Roland Garros,Florent Serra,Victor Hanescu,181.0
Roland Garros,Jurgen Melzer,Marcos Daniel,194.0
Roland Garros,Tommy Robredo,Marc Gicquel,225.0
Roland Garros,Nicolas Lapentti,Bobby Reynolds,221.0
Roland Garros,Simone Bolelli,Juan Martin del Potro,190.0
Roland Garros,Michael Llodra,Tomas Berdych,186.0
