tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1997-339,Adelaide,Hard,32,A,19961230,3,102158,,,Patrick Rafter,R,185,AUS,24.0,102269,,Q,Jeff Salzenstein,L,185,USA,23.2,6-4 6-3,3,R32,78,3,1,61,36,27,17,10,1,1,1,2,64,36,25,13,9,5,7,62,741,202,194
1998-421,Canada Masters,Hard,56,M,19980803,17,102286,,,Wayne Black,R,170,ZIM,24.7,101647,,,Byron Black,R,175,ZIM,28.8,6-4 6-0,3,R64,54,2,1,47,23,21,15,8,0,0,1,2,40,20,12,9,8,2,6,105,468,32,1125
2006-329,Tokyo,Hard,48,A,20061002,41,103819,1,,Roger Federer,R,185,SUI,25.1,102863,,WC,Takao Suzuki,R,175,JPN,30.0,4-6 7-5 7-6(3),3,QF,124,15,0,88,60,52,17,17,2,3,6,3,111,68,50,24,17,1,2,1,7120,1078,6
2019-6116,Atlanta,Hard,32,A,20190722,275,200615,,,Alexei Popyrin,R,196,AUS,19.9,106045,,,Denis Kudla,R,180,USA,26.9,6-3 6-4,3,R32,88,9,7,69,40,27,19,10,1,1,4,5,71,37,22,18,9,5,7,95,588,101,565
1968-301,Auckland,Grass,32,A,19680131,284,110053,,,Ian Beverly,U,,NZL,,100103,,,Peter Curtis,R,,GBR,22.4,6-3 9-7 6-4,5,R32,,,,,,,,,,,,,,,,,,,,,,,
1974-2036,Omaha,,32,A,19740122,18,107217,,,Ian Crookenden,L,,NZL,30.1,100245,,,Jeff Austin,R,,USA,22.5,6-2 7-6,3,QF,,,,,,,,,,,,,,,,,,,,,,56,
2014-422,Cincinnati Masters,Hard,56,M,20140810,4,104022,,,Mikhail Youzhny,R,183,RUS,32.1,104542,12,,Jo-Wilfried Tsonga,R,188,FRA,29.3,6-1 6-4,3,R64,68,4,1,52,29,23,12,9,0,1,3,0,48,25,16,7,8,1,5,25,1495,10,2910
1997-421,Canada Masters,Hard,56,M,19970728,37,102882,7,,Mark Philippoussis,R,196,AUS,20.7,101816,,Q,Steve Campbell,R,183,USA,26.7,6-2 6-4,3,R32,57,15,4,48,29,26,13,9,4,4,0,2,58,31,15,17,9,4,7,14,1858,136,322
1996-319,Kitzbuhel,Clay,48,A,19960722,11,101334,,,Alexander Volkov,L,188,RUS,29.3,102050,,,Marco Meneschincheri,L,180,ITA,24.2,6-3 1-0 RET,3,R64,35,3,0,29,13,12,9,6,1,1,0,1,26,18,12,3,5,0,2,77,637,148,285
1998-403,Miami Masters,Hard,96,M,19980316,61,102845,16,,Carlos Moya,R,190,ESP,21.5,101185,,,Mark Woodforde,L,188,AUS,32.4,7-6(2) 6-3,3,R64,79,4,2,67,30,26,23,11,1,1,1,4,68,38,24,20,10,3,4,18,1684,48,909
1982-812,Cap D'Adge WCT,Clay,32,A,19820726,11,100667,,,Per Hjertquist,R,183,SWE,22.3,100326,,,Russell Simpson,R,188,NZL,28.4,6-7 6-4 6-4,3,R32,,,,,,,,,,,,,,,,,,,,,,68,
