ranking_date,rank,player,points
20010507,230,102394,155
20020318,1024,101949,5
20220711,1943,138605,1
20050627,414,102886,70
19860811,46,100356,
20220221,1221,208028,6
19910812,1015,101163,3
20050523,1204,103410,4
20170814,744,144923,28
19900423,192,100922,128
19911209,628,102198,
19870713,915,107147,
19930322,545,108225,24
19880418,536,100808,
20111121,649,105959,30
20060227,363,103238,84
20181217,1309,200572,4
19880201,615,100858,
19850722,221,100765,
20130520,265,105561,173
20101108,1119,106004,4
20170925,21,106058,2175
20170626,373,105586,118
20001204,38,102184,945
19941010,580,101083,29
20221219,90,106296,603
20160509,2168,137238,1
20060410,1314,109016,3
20180416,874,202398,16
20210301,1023,106191,10
20000821,1225,103910,2
20100301,150,104813,330
20140804,394,105066,105
20211129,1517,206853,3
19990802,398,101591,82
20160229,1232,104082,6
19860707,723,100520,
20180716,279,104095,189
20180806,935,133224,14
20051010,1430,102400,2
19910819,1094,108220,1
19981026,356,102760,93
20040301,887,104297,9
20191223,522,105899,52
20001113,291,103485,105
20090629,15,103990,2580
20050613,1487,119614,1
19800707,30,100332,
19860331,735,108078,
19990920,1094,102418,4
19921228,1097,122961,1
20060515,312,103209,106
19980608,1386,103357,1
20141208,1710,124074,2
19890626,1060,100578,
20070423,1504,118495,1
19970217,561,102670,33
19851021,797,101025,
20141229,193,105672,260
20021230,904,103801,7
20110912,686,105207,26
20000918,1230,103255,2
20130708,1368,122611,3
20180618,201,124014,294
20100315,868,104446,12
19890717,158,101027,
20061002,1558,102836,1
20110815,1285,105391,3
20220321,1267,200217,5
20170626,1423,126629,3
20131007,1159,105666,6
20231225,1037,210557,10
20230220,492,104907,77
20020520,76,102287,500
19990503,734,102022,16
20160627,683,106023,37
