tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1999-508,Nuembrecht CH,Carpet,32,C,19991129,16,104022,,WC,Mikhail Youzhny,R,183,RUS,17.4,101543,2,,Jeff Tarango,L,180,USA,31.0,4-6 6-4 6-2,3,R32,,,,,,,,,,,,,,,,,,,,327,113,55,814
2013-339,Brisbane,Hard,28,A,20121230,726,105992,2,,Ryan Harrison,R,183,USA,20.6,104371,,,Ivo Minar,R,183,CZE,28.6,6-4 6-1,3,Q3,61,5,0,52,35,25,13,9,1,1,7,2,55,31,20,11,8,5,8,69,710,189,256
2017-560,US Open,Hard,128,G,20170828,145,105441,,,John Patrick Smith,L,188,AUS,28.5,200670,,,J J Wolf,R,183,USA,18.6,6-4 6-1,3,Q1,,,,,,,,,,,,,,,,,,,,202,269,,
2005-877,Granby CH,Hard,32,C,20050725,11,104433,,,Frank Dancevic,R,185,CAN,20.8,104496,,LL,Luis Manuel Flores,L,,MEX,20.4,6-1 7-6(5),3,R32,,,,,,,,,,,,,,,,,,,,190,216,1033,6
1991-798,Auckland CH,Hard,32,C,19911118,1,101971,1,,Johan Anderson,R,183,AUS,20.1,101346,,,David Ison,R,,GBR,24.5,6-3 3-6 7-5,3,R32,,,,,,,,,,,,,,,,,,,,145,244,368,52
2016-1741,Busan CH,Hard,32,C,20160502,287,106281,,SE,Liam Broady,L,183,GBR,22.3,105654,,ALT,Daniel Nguyen,U,,USA,25.5,6-3 7-5,3,R16,88,4,1,78,54,38,12,11,5,6,0,4,58,36,22,13,10,2,5,257,201,206,259
2005-3402,Orlando CH,Hard,32,C,20051128,17,103684,,,Benedikt Dorsch,R,178,GER,24.8,103894,,Q,Phillip King,R,175,USA,23.9,7-5 6-1,3,R16,,,,,,,,,,,,,,,,,,,,285,120,548,42
1987-204,Vina Del Mar CH,Clay,32,C,19870119,290,101131,4,,Jimmy Brown,R,180,USA,21.7,101074,,,Carlos Di Laura,L,175,PER,22.2,3-6 6-2 6-2,3,R16,,,,,,,,,,,,,,,,,,,,154,,216,
2022-8394,Iasi CH,Clay,32,C,20220711,280,105657,,WC,Marius Copil,R,193,ROU,31.7,144716,,LL,Oleg Prihodko,R,,UKR,24.7,6-2 7-6(3),3,R32,87,5,2,63,38,30,14,10,3,4,1,0,61,48,29,5,10,4,7,330,141,351,121
2003-1779,Belgaum CH,Hard,32,C,20031013,22,104219,,,Stephane Bohli,R,185,SUI,20.2,103468,,,Harsh Mankad,R,173,IND,23.9,6-4 6-3,3,R16,,,,,,,,,,,,,,,,,,,,262,132,367,84
2018-3351,Stockton CH,Hard,32,C,20181001,280,111515,,WC,Thai Son Kwiatkowski,R,188,USA,23.6,111192,,,Lucas Miedler,R,183,AUT,22.2,3-6 7-6(5) 6-4,3,R32,156,7,4,102,60,46,20,15,10,13,4,8,125,72,52,24,16,10,13,334,136,211,264
