player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id
209298,Jason,Janis,L,,GER,,
108923,Wahib,Maknieh,U,19860718,LIB,,
141021,Daniel,Guerreiro,U,19840803,POR,,
127816,Thomas,Duchemin,R,19951114,SWE,,
125991,Byung Ryeol,Yoo,R,,KOR,,
114809,Gardner,Larned,U,,USA,,
111027,Furat,Hammadi,U,19720609,JOR,,
106323,Mohamed,Shabib,L,19940518,DEN,,
107822,Mitchell,Bridge,R,19631224,USA,,
138672,Lukas,Del Giudice,U,19900921,ITA,,
115940,Lw,Scott,U,,USA,,
120288,Peter,Frank,R,19891012,GER,,
106344,Konstantin,Gerlakh,L,19940709,RUS,,
209486,Enrique,Cagide,R,19780526,MEX,,
116266,Rs,Lyman,U,,USA,,
120315,Santiago,Penades Sanz,R,19871109,ESP,,
137611,Marshall,Harbin,U,19940224,USA,,
200329,Remy,Bertola,R,19980831,SUI,,
110762,Alan,Kohen,R,19930420,ARG,,
151951,Eugene,Dines,U,,USA,,
117057,Andre,La Croix,U,,BEL,,
142168,Marko,Schimke,U,19790906,GRE,,
121881,Hamed,Yazdi,U,19930221,IRI,,
123972,Fahed,Al Zouman,U,19970426,KUW,,
148961,W,Petersen,U,,RSA,,
145594,Larry,Greene,U,,USA,,
104763,Rafael,Arevalo,R,19860704,ESA,180,Q1690736
206696,Armando,Moya,U,19980529,ESP,,
143318,Geoff,Fouad,U,,USA,,
102224,Miguel,Pastura,R,19730527,ARG,,Q6844719
148653,S,Fearn,U,,GBR,,
122737,Gerald,Kaiser,U,19641225,AUT,,
135273,Guillermo,De Vilchez Guardiola,U,19920503,ESP,,
124937,Brad Lea,Holland,U,19741004,USA,,
133385,Mark,Hamill,U,19940305,CAN,,
211375,Toizo,Hosoi,U,,JPN,,
212513,Eugenio,Almeida Junior,U,,BRA,,
151422,E P,Finigan,U,,USA,,
148360,F,Hickey,U,,AUS,,
134324,Ben,Dolan,U,19951009,AUS,,
124299,Alexandar,Kasarov,U,19810921,BUL,,
200613,Denis,Pisarchuk,U,19980210,RUS,,
206384,Luke,Stevenson,U,19971206,GBR,,
147525,O H,Parrish,U,,USA,,
120268,Ricards,Opmanis,R,19900303,LAT,,
138453,Georgi,Goranov,R,19940708,BUL,,
120574,Artem,Chebotarev,U,19910828,UKR,,
107565,Leopoldino,Pupo,R,19581025,BRA,,
142624,Andrew,Holm,U,19840206,USA,,
101668,Peter,Nyborg,R,19691212,SWE,190,Q960242
116623,Edward A,Crowninshield,U,,USA,,
111138,Dennis,Matthews,U,,,,
131307,Chris,Green,U,19611004,USA,,
100449,Stanislav,Birner,R,19561011,CZE,170,Q3496726
132463,Branch,Terrell,U,19950909,USA,,
141525,Aswat,Sirohia,U,19840917,USA,,
148240,,Granger,U,,,,
137691,Andrew,Carlisle,U,19930412,USA,,
122767,Juan Miguel,Olvera,U,19630612,ECU,,
110788,Jose,Garcia Requena,U,19550723,ESP,,Q21997823
127179,Ivan,Randjelovic,U,19950707,BIH,,
144708,Nedim,Ahmic,U,19971209,BIH,,
148242,,Rosenmuller,U,,GER,,
200612,Nikita,Potapov,U,19980514,RUS,,
207586,Justas,Trainauskas,R,20020218,LTU,,
134251,Alexander,Gryaznov,U,19920508,USA,,
126506,Matt,Frost,R,19921019,GBR,,
148246,,Leri,U,,ITA,,
137628,Valeriano,Almeida Sousa,R,19890101,BRA,,
211152,Frank,Bussey,U,,USA,,
150079,Vaughn,Montgomery,U,,USA,,
139735,Efe,Kincal,U,19800619,TUR,,
210137,Jonas,Greif,U,20020412,ITA,,
131465,Maciej,Koczorowski,U,19711123,POL,,
121140,Andre,Guzman,U,19920131,BOL,,
209593,G,Doughty,U,,IRL,,
128166,Pawel,Szmaland,U,19810201,POL,,
107089,Gernot,Boehm,R,19710224,AUT,,
128056,Paolo,Dagnino,U,19971027,ITA,,
100872,Rill,Baxter,R,19621026,USA,183,Q1701912
139981,Tomaz,Mileta,U,19830205,SLO,,
135693,Sergiu Paul,Muresan,U,19910929,ROU,,
142269,Youssef,El Jahechi,U,19781229,MAR,,
138916,Brady,Bohrnstedt,U,19911209,USA,,
207390,Eugen,Durnescu,R,19990320,ROU,,
127987,Charles,Deans Van Swelm,U,19830103,NED,,
